benchmark_id,benchmark_family,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_condition,status,error_message,comparison_sites,worst_case_depth,expected_depth,accept_predicate_num_intervals,accept_predicate_comparison_sites,accept_predicate_worst_case_depth,accept_predicate_expected_depth,rollbackacc_predicate_num_intervals,rollbackacc_predicate_comparison_sites,rollbackacc_predicate_worst_case_depth,rollbackacc_predicate_expected_depth,throughput_bytes_per_sec
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,same_A,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,152826035.64897537
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,same_A,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,161718430.8905986
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,same_A,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,146210306.01829666
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,same_A,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,6136795454545.455
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,same_A,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,5094698113207.547
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,same_A,completed,,0,0,0.0,3,4,4,2.379409332730081,3,5,5,4.223934037474453,191095978.63272664
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,165394849.35427043
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,166139978.46485156
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,147730256.96690637
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,5192673076923.077
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,5869978260869.565
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,same_A,completed,,1,1,1.0,1,1,1,1.0,1,2,2,1.6241633773811568,190438676.36095887
